Employee_Name;EmpID;MarriedID;MaritalStatusID;GenderID;EmpStatusID;DeptID;PerfScoreID;FromDiversityJobFairID;Salary;Termd;PositionID;Position;DOB;Sex;MaritalDesc;DateofHire;DateofTermination;TermReason;EmploymentStatus;Department;ManagerName;ManagerID;RecruitmentSource;Recruitment;PerformanceScore;EngagementSurvey;EmpSatisfaction;SpecialProjectsCount;LastPerformanceReview_Date;DaysLateLast30;Absences
Adinolfi, Wilson  K;10026;0;0;1;1;5;4;0;62506;0;19;Production Technician I;07/10/83;M ;Single;7/5/2011;;N/A-StillEmployed;Active;Production       ;Michael Albert;22;LinkedIn;1;Exceeds;4.60;5;0;1/17/2019;0;1
Ait Sidi, Karthikeyan   ;10084;1;1;1;5;3;3;0;104437;1;27;Sr. DBA;05/05/75;M ;Married;3/30/2015;6/16/2016;career change;Voluntarily Terminated;IT/IS;Michael Albert;22;Indeed;2;Fully Meets;4.96;3;6;2/24/2016;0;17
Akinkuolie, Sarah;10196;1;1;0;5;5;3;0;64955;1;20;Production Technician II;09/19/88;F;Married;7/5/2011;9/24/2012;hours;Voluntarily Terminated;Production       ;Michael Albert;22;LinkedIn;1;Fully Meets;3.02;3;0;5/15/2012;0;3
Alagbe,Trina;10088;1;1;0;1;5;3;0;64991;0;19;Production Technician I;09/27/88;F;Married;1/7/2008;;N/A-StillEmployed;Active;Production       ;Simon Roup;4;Indeed;2;Fully Meets;4.84;5;0;1/3/2019;0;15
Anderson, Carol ;10069;0;2;0;5;5;3;0;50825;1;19;Production Technician I;09/08/89;F;Divorced;7/11/2011;9/6/2016;return to school;Voluntarily Terminated;Production       ;Michael Albert;22;Google Search;3;Fully Meets;5.00;4;0;2/1/2016;0;2
Anderson, Linda  ;10002;0;0;0;1;5;4;0;57568;0;19;Production Technician I;05/22/77;F;Single;1/9/2012;;N/A-StillEmployed;Active;Production       ;Amy Dunn;11;LinkedIn;1;Exceeds;5.00;5;0;1/7/2019;0;15
Andreola, Colby;10194;0;0;0;1;4;3;0;95660;0;24;Software Engineer;05/24/79;F;Single;11/10/2014;;N/A-StillEmployed;Active;Software Engineering;Amy Dunn;11;LinkedIn;1;Fully Meets;3.04;3;4;1/2/2019;0;19
Athwal, Sam;10062;0;4;1;1;5;3;0;59365;0;19;Production Technician I;02/18/83;M ;Widowed;9/30/2013;;N/A-StillEmployed;Active;Production       ;Michael Albert;22;Employee Referral;4;Fully Meets;5.00;4;0;2/25/2019;0;19
Bachiochi, Linda;10114;0;0;0;3;5;3;1;47837;0;19;Production Technician I;02/11/70;F;Single;7/6/2009;;N/A-StillEmployed;Active;Production       ;Michael Albert;22;Diversity Job Fair;5;Fully Meets;4.46;3;0;1/25/2019;0;4
Bacong, Alejandro ;10250;0;2;1;1;3;3;0;50178;0;14;IT Support;01/07/88;M ;Divorced;1/5/2015;;N/A-StillEmployed;Active;IT/IS;Simon Roup;4;Indeed;2;Fully Meets;5.00;5;6;2/18/2019;0;16
Baczenski, Rachael  ;10252;1;1;0;5;5;3;1;54670;1;19;Production Technician I;01/12/74;F;Married;1/10/2011;1/12/2017;Another position;Voluntarily Terminated;Production       ;Michael Albert;22;Diversity Job Fair;5;Fully Meets;4.20;4;0;1/30/2016;0;12
Barbara, Thomas;10242;1;1;1;5;5;3;1;47211;1;19;Production Technician I;02/21/74;M ;Married;4/2/2012;9/19/2016;unhappy;Voluntarily Terminated;Production       ;Amy Dunn;11;Diversity Job Fair;5;Fully Meets;4.20;3;0;5/6/2016;0;15
